characteristic,correlation
Individuals using the Internet (% of population),0.7898014215057388
"Life expectancy at birth, total (years)",0.7633906164198178
"Life expectancy at birth, male (years)",0.7623180913868971
"Life expectancy at birth, female (years)",0.754901904582836
GDP per capita (current US$),0.7287515072680727
Urban population (% of total population),0.7184884508569087
Rural population (% of total population),-0.7184884508569087
GDP per capita (constant 2010 US$),0.7166271497507155
People using at least basic sanitation services (% of population),0.7156874967342175
People using at least basic drinking water services (% of population),0.7076426838151464
Fixed broadband subscriptions (per 100 people),0.7043064191135583
"Birth rate, crude (per 1,000 people)",-0.6854800711028908
"Access to electricity, rural (% of rural population)",0.6836985381987043
Fixed telephone subscriptions (per 100 people),0.6725094536528684
Access to electricity (% of population),0.6700461529966123
"Fertility rate, total (births per woman)",-0.6590382634969233
Secure Internet servers (per 1 million people),0.618328309306682
"Tuberculosis case detection rate (%, all forms)",0.5719374743611838
"Access to electricity, urban (% of urban population)",0.5687966365781052
People practicing open defecation (% of population),-0.5577177226729293
Forest rents (% of GDP),-0.54590121977799
Mobile cellular subscriptions (per 100 people),0.5387663644930298
Renewable energy consumption (% of total final energy consumption),-0.5162975519448135
Merchandise imports from high-income economies (% of total merchandise imports),0.4960482780970772
Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports),-0.49128060127929685
"Incidence of tuberculosis (per 100,000 people)",-0.4739696911976675
Urban population growth (annual %),-0.44752961785593914
Rural population growth (annual %),-0.43441889635224923
International migrant stock (% of population),0.4193493156885956
Import value index (2000 = 100),-0.3822751574054232
Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports),-0.3816786009366323
Merchandise exports to high-income economies (% of total merchandise exports),0.3697101093978235
Merchandise imports by the reporting economy (current US$),0.31698017844426846
Crop production index (2004-2006 = 100),-0.31681946110629045
Merchandise imports (current US$),0.30924421489231163
Population growth (annual %),-0.29690312466750607
Merchandise exports (current US$),0.29577953063364626
"Foreign direct investment, net inflows (BoP, current US$)",0.2939463305731119
Food production index (2004-2006 = 100),-0.2939166056721478
Merchandise exports by the reporting economy (current US$),0.2920956943112271
Agricultural land (% of land area),-0.28753809055002905
"International migrant stock, total",0.2806018147893122
Import unit value index (2000 = 100),-0.2621921867051606
Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports),0.2605813378291251
Export unit value index (2000 = 100),-0.2582310273070714
Merchandise imports from economies in the Arab World (% of total merchandise imports),-0.25703621756301287
Import volume index (2000 = 100),-0.2556390242115437
Total natural resources rents (% of GDP),-0.25141266739690765
Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports),-0.24966412157935364
Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports),0.24948467158197185
GDP (constant 2010 US$),0.2302956157017387
Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports),-0.22591276153873058
Forest area (sq. km),0.21917384036909232
Export value index (2000 = 100),-0.21664875599647487
Secure Internet servers,0.21166852772343103
GDP (current US$),0.20923575413310305
"Death rate, crude (per 1,000 people)",-0.20527932612696517
Surface area (sq. km),0.1976414827764269
Mineral rents (% of GDP),-0.19648801405085922
Land area (sq. km),0.19410635013703373
Arable land (% of land area),-0.18883433007613695
Adjusted savings: energy depletion (current US$),0.17986429451998376
"Inflation, GDP deflator: linked series (annual %)",-0.17647828571609583
"Inflation, GDP deflator (annual %)",-0.17647674087413526
Adjusted savings: mineral depletion (current US$),0.1605059516861712
Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports),-0.15686111774563416
Primary school starting age (years),-0.15493660855889202
GDP deflator (base year varies by country),-0.15153348997803057
Fixed telephone subscriptions,0.1506957151815032
GDP deflator: linked series (base year varies by country),-0.15061083340029974
DEC alternative conversion factor (LCU per US$),-0.14046562976293114
Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports),-0.12971753801846608
Export volume index (2000 = 100),-0.12766792670088717
Agricultural land (sq. km),0.12058654694108688
Merchandise exports to economies in the Arab World (% of total merchandise exports),-0.11774695493497017
"Secondary education, duration (years)",-0.11459826501069575
Livestock production index (2004-2006 = 100),-0.11207126280992877
Forest area (% of land area),0.1029614169219374
Population density (people per sq. km of land area),0.10154434897870085
Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),0.1003394895278851
Fixed broadband subscriptions,0.09957093765306489
Rural population,-0.09570617553764317
Merchandise imports from low- and middle-income economies in Europe & Central Asia (% of total merchandise imports),-0.08756394230026984
Arable land (hectares),0.08423974652130865
Arable land (hectares per person),0.08308809716064854
Adjusted savings: carbon dioxide damage (current US$),0.0760971663945964
GDP per capita growth (annual %),0.07590208642728925
Capture fisheries production (metric tons),0.06274574559472261
Renewable electricity output (% of total electricity output),-0.06104362885078006
"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",0.05470803597794337
Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports),0.04985508200093866
Urban population,0.04978125464897823
"Primary education, duration (years)",0.0490147471242526
Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports),-0.04572657833719561
Lower secondary school starting age (years),-0.04302603634827494
"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",-0.030239479388236814
"Population, total",-0.029721589879245988
GDP per capita (constant LCU),0.026465962003116635
Net barter terms of trade index (2000 = 100),-0.0217993105340201
GDP growth (annual %),-0.018975160709565904
Mobile cellular subscriptions,0.008528370438784521
"Preprimary education, duration (years)",-0.007468452052522697
GDP per capita (current LCU),0.006291785297056527
GDP (constant LCU),0.0014442258165536946
Total fisheries production (metric tons),0.001132927646539448
GDP: linked series (current LCU),-0.001032199249244167
GDP (current LCU),-0.0010321992180821078
